,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
653,18070,04,09,15,16,19,27,10
654,18069,06,13,17,19,23,31,12
655,18068,08,10,17,20,27,30,01
656,18067,01,04,09,12,15,18,05
657,18066,09,16,17,19,22,26,10
658,18065,01,04,06,14,28,33,01
659,18064,02,05,10,11,17,21,05
660,18063,05,06,10,16,20,25,12
661,18062,02,18,19,24,25,33,11
662,18061,09,10,11,12,18,23,07
663,18060,04,08,13,25,30,31,10
664,18059,04,06,08,13,22,32,11
665,18058,07,12,13,16,26,31,07
666,18057,05,15,17,19,20,30,13
667,18056,01,03,06,20,21,26,01
668,18055,07,09,10,12,22,26,07
669,18054,04,06,18,22,25,33,16
670,18053,01,04,10,11,14,27,06
671,18052,03,05,06,09,15,32,14
672,18051,05,07,20,23,27,31,04
673,18050,01,02,04,10,18,19,07
674,18049,01,03,04,11,19,23,02
675,18048,01,12,20,25,30,31,02
676,18047,06,07,12,16,22,25,07
677,18046,10,13,14,18,20,31,03
678,18045,03,04,06,25,26,30,01
679,18044,05,09,12,17,27,30,06
680,18043,01,04,06,08,21,24,07
681,18042,06,10,21,28,29,31,12
682,18041,07,08,20,23,24,32,13
683,18040,01,03,08,13,18,23,16
684,18039,08,12,18,19,23,32,03
685,18038,15,23,24,25,28,29,09
686,18037,01,06,07,08,27,30,10
687,18036,08,17,24,26,28,33,04
688,18035,07,10,11,17,23,28,15
689,18034,01,05,11,22,23,26,15
690,18033,04,19,20,22,28,33,06
691,18032,21,22,23,24,25,32,06
692,18031,02,16,18,19,27,30,14
693,18030,13,14,20,21,25,33,07
694,18029,01,02,09,14,22,25,05
695,18028,03,08,11,14,18,23,16
696,18027,02,07,09,14,18,28,05
697,18026,04,07,12,14,26,32,04
698,18025,04,13,16,19,21,25,14
699,18024,11,19,22,26,31,32,02
700,18023,12,15,16,21,26,29,16
701,18022,07,14,19,21,22,23,03
702,18021,03,04,06,11,23,28,14
703,18020,06,09,10,14,28,30,05
704,18019,03,11,12,16,21,23,09
705,18018,02,12,13,18,25,27,07
706,18017,03,06,11,26,30,32,12
707,18016,01,11,12,18,25,27,16
708,18015,11,15,20,21,26,33,15
709,18014,09,12,20,24,28,31,07
710,18013,06,08,13,15,22,33,06
711,18012,11,12,13,19,26,28,12
712,18011,03,10,21,23,27,33,11
713,18010,01,08,17,20,21,22,03
714,18009,05,10,17,23,26,32,07
715,18008,05,09,10,12,17,19,13
716,18007,13,14,20,25,27,31,12
717,18006,02,07,08,09,17,29,11
718,18005,02,20,21,28,31,33,06
719,18004,14,18,19,26,30,31,11
720,18003,01,14,16,17,20,31,04
721,18002,07,18,24,29,31,33,16
722,18001,01,08,11,26,28,31,04
723,17154,05,09,13,15,18,26,05
724,17153,07,11,12,13,18,19,16
725,17152,06,10,23,25,26,29,05
